t_s,count,theta_rad,x_m
0.0000,-245,-0.641408,-0.008018
0.0020,-250,-0.654498,-0.008181
0.0050,-255,-0.667588,-0.008345
0.0090,-260,-0.680678,-0.008508
0.0110,-264,-0.691150,-0.008639
0.0140,-268,-0.701622,-0.008770
0.0160,-272,-0.712094,-0.008901
0.0190,-276,-0.722566,-0.009032
0.0210,-280,-0.733038,-0.009163
0.0240,-284,-0.743510,-0.009294
0.0270,-288,-0.753982,-0.009425
0.0290,-292,-0.764454,-0.009556
0.0320,-295,-0.772308,-0.009654
0.0340,-299,-0.782780,-0.009785
0.0370,-303,-0.793252,-0.009916
0.0390,-307,-0.803724,-0.010047
0.0420,-310,-0.811578,-0.010145
0.0450,-314,-0.822050,-0.010276
0.0470,-317,-0.829904,-0.010374
0.0510,-320,-0.837758,-0.010472
0.0540,-323,-0.845612,-0.010570
0.0570,-326,-0.853466,-0.010668
0.0590,-329,-0.861320,-0.010767
0.0620,-331,-0.866556,-0.010832
0.0650,-335,-0.877028,-0.010963
0.0670,-338,-0.884882,-0.011061
0.0700,-341,-0.892736,-0.011159
0.0730,-344,-0.900590,-0.011257
0.0760,-346,-0.905826,-0.011323
0.0780,-349,-0.913680,-0.011421
0.0810,-352,-0.921534,-0.011519
0.0840,-356,-0.932006,-0.011650
0.0870,-360,-0.942478,-0.011781
0.0890,-364,-0.952950,-0.011912
0.0930,-369,-0.966040,-0.012075
0.0960,-374,-0.979130,-0.012239
0.0990,-380,-0.994838,-0.012435
0.1010,-386,-1.010546,-0.012632
0.1040,-393,-1.028872,-0.012861
0.1070,-401,-1.049816,-0.013123
0.1100,-408,-1.068142,-0.013352
0.1120,-417,-1.091703,-0.013646
0.1150,-426,-1.115265,-0.013941
0.1180,-436,-1.141445,-0.014268
0.1210,-447,-1.170243,-0.014628
0.1230,-458,-1.199041,-0.014988
0.1260,-470,-1.230457,-0.015381
0.1290,-482,-1.261873,-0.015773
0.1320,-494,-1.293289,-0.016166
0.1350,-506,-1.324705,-0.016559
0.1380,-518,-1.356121,-0.016952
0.1410,-530,-1.387537,-0.017344
0.1440,-542,-1.418953,-0.017737
0.1460,-554,-1.450369,-0.018130
0.1490,-565,-1.479167,-0.018490
0.1520,-575,-1.505347,-0.018817
0.1540,-584,-1.528908,-0.019111
0.1570,-595,-1.557706,-0.019471
0.1600,-606,-1.586504,-0.019831
0.1630,-617,-1.615302,-0.020191
0.1650,-627,-1.641482,-0.020519
0.1680,-636,-1.665044,-0.020813
0.1710,-646,-1.691224,-0.021140
0.1740,-655,-1.714786,-0.021435
0.1770,-664,-1.738348,-0.021729
0.1800,-672,-1.759292,-0.021991
0.1830,-679,-1.777618,-0.022220
0.1860,-687,-1.798562,-0.022482
0.1880,-695,-1.819506,-0.022744
0.1910,-702,-1.837832,-0.022973
0.1940,-708,-1.853540,-0.023169
0.1970,-714,-1.869248,-0.023366
0.1990,-720,-1.884956,-0.023562
0.2020,-726,-1.900664,-0.023758
0.2050,-732,-1.916372,-0.023955
0.2070,-737,-1.929462,-0.024118
0.2100,-742,-1.942551,-0.024282
0.2130,-747,-1.955641,-0.024446
0.2160,-752,-1.968731,-0.024609
0.2180,-757,-1.981821,-0.024773
0.2220,-763,-1.997529,-0.024969
0.2250,-770,-2.015855,-0.025198
0.2280,-777,-2.034181,-0.025427
0.2300,-785,-2.055125,-0.025689
0.2330,-793,-2.076069,-0.025951
0.2360,-801,-2.097013,-0.026213
0.2390,-808,-2.115339,-0.026442
0.2410,-816,-2.136283,-0.026704
0.2440,-825,-2.159845,-0.026998
0.2470,-833,-2.180789,-0.027260
0.2500,-840,-2.199115,-0.027489
0.2520,-847,-2.217441,-0.027718
0.2550,-855,-2.238385,-0.027980
0.2580,-862,-2.256711,-0.028209
