t_s,count,theta_rad,x_m
0.0000,-6,-0.015708,-0.000196
0.0020,-6,-0.015708,-0.000196
0.0050,-6,-0.015708,-0.000196
0.0080,-6,-0.015708,-0.000196
0.0100,-6,-0.015708,-0.000196
0.0130,-6,-0.015708,-0.000196
0.0150,-6,-0.015708,-0.000196
0.0180,-6,-0.015708,-0.000196
0.0200,-6,-0.015708,-0.000196
0.0220,-6,-0.015708,-0.000196
0.0250,-6,-0.015708,-0.000196
0.0270,-6,-0.015708,-0.000196
0.0300,-6,-0.015708,-0.000196
0.0320,-6,-0.015708,-0.000196
0.0340,-6,-0.015708,-0.000196
0.0370,-6,-0.015708,-0.000196
0.0390,-6,-0.015708,-0.000196
0.0420,-6,-0.015708,-0.000196
0.0440,-6,-0.015708,-0.000196
0.0470,-6,-0.015708,-0.000196
0.0500,-6,-0.015708,-0.000196
0.0530,-6,-0.015708,-0.000196
0.0560,-6,-0.015708,-0.000196
0.0580,-5,-0.013090,-0.000164
0.0610,-5,-0.013090,-0.000164
0.0630,-5,-0.013090,-0.000164
0.0660,-5,-0.013090,-0.000164
0.0680,-6,-0.015708,-0.000196
0.0710,-6,-0.015708,-0.000196
0.0740,-6,-0.015708,-0.000196
0.0760,-6,-0.015708,-0.000196
0.0790,-6,-0.015708,-0.000196
0.0810,-6,-0.015708,-0.000196
0.0840,-6,-0.015708,-0.000196
0.0870,-7,-0.018326,-0.000229
0.0890,-7,-0.018326,-0.000229
0.0930,-7,-0.018326,-0.000229
0.0950,-7,-0.018326,-0.000229
0.0980,-7,-0.018326,-0.000229
0.1000,-7,-0.018326,-0.000229
0.1030,-7,-0.018326,-0.000229
0.1060,-8,-0.020944,-0.000262
0.1080,-8,-0.020944,-0.000262
0.1110,-8,-0.020944,-0.000262
0.1130,-8,-0.020944,-0.000262
0.1160,-8,-0.020944,-0.000262
0.1180,-8,-0.020944,-0.000262
0.1210,-8,-0.020944,-0.000262
0.1240,-8,-0.020944,-0.000262
0.1260,-9,-0.023562,-0.000295
0.1290,-9,-0.023562,-0.000295
0.1310,-9,-0.023562,-0.000295
0.1350,-9,-0.023562,-0.000295
0.1370,-9,-0.023562,-0.000295
0.1400,-9,-0.023562,-0.000295
0.1430,-9,-0.023562,-0.000295
0.1450,-9,-0.023562,-0.000295
0.1480,-9,-0.023562,-0.000295
0.1500,-9,-0.023562,-0.000295
0.1530,-8,-0.020944,-0.000262
0.1550,-8,-0.020944,-0.000262
0.1580,-8,-0.020944,-0.000262
0.1610,-8,-0.020944,-0.000262
0.1630,-8,-0.020944,-0.000262
0.1660,-8,-0.020944,-0.000262
0.1680,-8,-0.020944,-0.000262
0.1710,-8,-0.020944,-0.000262
0.1730,-8,-0.020944,-0.000262
0.1770,-8,-0.020944,-0.000262
0.1800,-8,-0.020944,-0.000262
0.1820,-8,-0.020944,-0.000262
0.1850,-8,-0.020944,-0.000262
0.1870,-8,-0.020944,-0.000262
0.1900,-8,-0.020944,-0.000262
0.1920,-8,-0.020944,-0.000262
0.1950,-7,-0.018326,-0.000229
0.1980,-7,-0.018326,-0.000229
0.2000,-7,-0.018326,-0.000229
0.2030,-7,-0.018326,-0.000229
0.2050,-8,-0.020944,-0.000262
0.2080,-8,-0.020944,-0.000262
0.2100,-8,-0.020944,-0.000262
0.2130,-8,-0.020944,-0.000262
0.2160,-8,-0.020944,-0.000262
0.2180,-8,-0.020944,-0.000262
0.2220,-8,-0.020944,-0.000262
0.2240,-9,-0.023562,-0.000295
0.2270,-9,-0.023562,-0.000295
0.2290,-9,-0.023562,-0.000295
0.2320,-9,-0.023562,-0.000295
0.2350,-9,-0.023562,-0.000295
0.2370,-9,-0.023562,-0.000295
0.2400,-9,-0.023562,-0.000295
0.2420,-9,-0.023562,-0.000295
0.2450,-10,-0.026180,-0.000327
0.2480,-10,-0.026180,-0.000327
0.2500,-10,-0.026180,-0.000327
0.2530,-10,-0.026180,-0.000327
0.2560,-10,-0.026180,-0.000327
0.2580,-10,-0.026180,-0.000327
0.2610,-10,-0.026180,-0.000327
0.2640,-10,-0.026180,-0.000327
0.2670,-10,-0.026180,-0.000327
0.2700,-10,-0.026180,-0.000327
0.2720,-10,-0.026180,-0.000327
0.2750,-10,-0.026180,-0.000327
0.2780,-10,-0.026180,-0.000327
0.2800,-10,-0.026180,-0.000327
0.2830,-10,-0.026180,-0.000327
0.2860,-10,-0.026180,-0.000327
0.2880,-10,-0.026180,-0.000327
0.2910,-10,-0.026180,-0.000327
0.2940,-10,-0.026180,-0.000327
0.2960,-10,-0.026180,-0.000327
0.2990,-10,-0.026180,-0.000327
0.3020,-10,-0.026180,-0.000327
0.3050,-10,-0.026180,-0.000327
0.3080,-10,-0.026180,-0.000327
0.3110,-9,-0.023562,-0.000295
0.3130,-9,-0.023562,-0.000295
0.3160,-9,-0.023562,-0.000295
0.3180,-9,-0.023562,-0.000295
0.3210,-9,-0.023562,-0.000295
0.3240,-9,-0.023562,-0.000295
0.3260,-9,-0.023562,-0.000295
0.3290,-9,-0.023562,-0.000295
0.3310,-9,-0.023562,-0.000295
0.3340,-9,-0.023562,-0.000295
0.3360,-9,-0.023562,-0.000295
0.3390,-9,-0.023562,-0.000295
0.3420,-9,-0.023562,-0.000295
0.3440,-9,-0.023562,-0.000295
0.3480,-9,-0.023562,-0.000295
0.3500,-9,-0.023562,-0.000295
0.3530,-9,-0.023562,-0.000295
0.3550,-9,-0.023562,-0.000295
0.3580,-10,-0.026180,-0.000327
0.3610,-10,-0.026180,-0.000327
0.3630,-10,-0.026180,-0.000327
0.3660,-10,-0.026180,-0.000327
0.3690,-10,-0.026180,-0.000327
0.3710,-10,-0.026180,-0.000327
0.3740,-11,-0.028798,-0.000360
0.3770,-11,-0.028798,-0.000360
0.3790,-11,-0.028798,-0.000360
0.3820,-11,-0.028798,-0.000360
0.3850,-11,-0.028798,-0.000360
0.3870,-11,-0.028798,-0.000360
0.3910,-11,-0.028798,-0.000360
0.3930,-11,-0.028798,-0.000360
0.3960,-11,-0.028798,-0.000360
0.3990,-11,-0.028798,-0.000360
0.4010,-11,-0.028798,-0.000360
0.4040,-11,-0.028798,-0.000360
0.4070,-11,-0.028798,-0.000360
0.4090,-11,-0.028798,-0.000360
0.4120,-11,-0.028798,-0.000360
0.4150,-11,-0.028798,-0.000360
0.4170,-11,-0.028798,-0.000360
0.4200,-11,-0.028798,-0.000360
0.4230,-11,-0.028798,-0.000360
0.4250,-11,-0.028798,-0.000360
0.4280,-11,-0.028798,-0.000360
0.4310,-11,-0.028798,-0.000360
0.4340,-11,-0.028798,-0.000360
0.4370,-11,-0.028798,-0.000360
0.4400,-11,-0.028798,-0.000360
0.4420,-11,-0.028798,-0.000360
0.4450,-11,-0.028798,-0.000360
0.4480,-11,-0.028798,-0.000360
0.4500,-11,-0.028798,-0.000360
0.4530,-11,-0.028798,-0.000360
0.4560,-11,-0.028798,-0.000360
0.4580,-11,-0.028798,-0.000360
0.4610,-11,-0.028798,-0.000360
0.4640,-11,-0.028798,-0.000360
0.4660,-11,-0.028798,-0.000360
0.4690,-11,-0.028798,-0.000360
0.4720,-11,-0.028798,-0.000360
0.4740,-10,-0.026180,-0.000327
0.4780,-10,-0.026180,-0.000327
0.4800,-10,-0.026180,-0.000327
0.4830,-11,-0.028798,-0.000360
0.4860,-11,-0.028798,-0.000360
0.4880,-11,-0.028798,-0.000360
0.4910,-11,-0.028798,-0.000360
0.4940,-11,-0.028798,-0.000360
0.4960,-11,-0.028798,-0.000360
0.4990,-11,-0.028798,-0.000360
0.5020,-12,-0.031416,-0.000393
0.5040,-12,-0.031416,-0.000393
0.5070,-12,-0.031416,-0.000393
0.5100,-12,-0.031416,-0.000393
0.5120,-12,-0.031416,-0.000393
0.5150,-12,-0.031416,-0.000393
0.5190,-12,-0.031416,-0.000393
0.5210,-12,-0.031416,-0.000393
0.5240,-12,-0.031416,-0.000393
0.5270,-12,-0.031416,-0.000393
0.5290,-12,-0.031416,-0.000393
0.5320,-12,-0.031416,-0.000393
0.5350,-12,-0.031416,-0.000393
0.5370,-12,-0.031416,-0.000393
0.5400,-12,-0.031416,-0.000393
0.5430,-12,-0.031416,-0.000393
0.5450,-12,-0.031416,-0.000393
0.5480,-12,-0.031416,-0.000393
0.5510,-12,-0.031416,-0.000393
0.5530,-12,-0.031416,-0.000393
0.5560,-12,-0.031416,-0.000393
0.5590,-12,-0.031416,-0.000393
0.5620,-12,-0.031416,-0.000393
0.5650,-12,-0.031416,-0.000393
0.5670,-12,-0.031416,-0.000393
0.5700,-12,-0.031416,-0.000393
0.5730,-12,-0.031416,-0.000393
0.5750,-12,-0.031416,-0.000393
0.5780,-12,-0.031416,-0.000393
0.5810,-12,-0.031416,-0.000393
0.5830,-12,-0.031416,-0.000393
0.5860,-12,-0.031416,-0.000393
0.5890,-12,-0.031416,-0.000393
0.5910,-12,-0.031416,-0.000393
0.5940,-12,-0.031416,-0.000393
0.5970,-12,-0.031416,-0.000393
0.5990,-12,-0.031416,-0.000393
0.6020,-12,-0.031416,-0.000393
0.6060,-12,-0.031416,-0.000393
0.6080,-12,-0.031416,-0.000393
0.6110,-12,-0.031416,-0.000393
0.6140,-12,-0.031416,-0.000393
0.6160,-12,-0.031416,-0.000393
0.6190,-12,-0.031416,-0.000393
0.6220,-12,-0.031416,-0.000393
0.6240,-12,-0.031416,-0.000393
0.6270,-12,-0.031416,-0.000393
0.6300,-12,-0.031416,-0.000393
0.6320,-12,-0.031416,-0.000393
0.6350,-12,-0.031416,-0.000393
0.6380,-12,-0.031416,-0.000393
0.6400,-13,-0.034034,-0.000425
0.6430,-13,-0.034034,-0.000425
0.6470,-13,-0.034034,-0.000425
0.6490,-13,-0.034034,-0.000425
0.6520,-13,-0.034034,-0.000425
0.6540,-13,-0.034034,-0.000425
0.6570,-13,-0.034034,-0.000425
0.6600,-13,-0.034034,-0.000425
0.6620,-13,-0.034034,-0.000425
0.6650,-13,-0.034034,-0.000425
0.6680,-13,-0.034034,-0.000425
0.6700,-13,-0.034034,-0.000425
0.6730,-13,-0.034034,-0.000425
0.6760,-13,-0.034034,-0.000425
0.6780,-13,-0.034034,-0.000425
0.6810,-13,-0.034034,-0.000425
0.6840,-13,-0.034034,-0.000425
0.6860,-13,-0.034034,-0.000425
0.6900,-13,-0.034034,-0.000425
0.6930,-13,-0.034034,-0.000425
0.6950,-13,-0.034034,-0.000425
0.6980,-13,-0.034034,-0.000425
0.7010,-13,-0.034034,-0.000425
0.7030,-13,-0.034034,-0.000425
0.7060,-13,-0.034034,-0.000425
0.7090,-13,-0.034034,-0.000425
0.7110,-13,-0.034034,-0.000425
0.7140,-13,-0.034034,-0.000425
0.7170,-13,-0.034034,-0.000425
0.7190,-13,-0.034034,-0.000425
0.7220,-13,-0.034034,-0.000425
0.7250,-13,-0.034034,-0.000425
0.7320,-13,-0.034034,-0.000425
0.7410,-13,-0.034034,-0.000425
0.7510,-13,-0.034034,-0.000425
0.7610,-13,-0.034034,-0.000425
0.7710,-13,-0.034034,-0.000425
0.7810,-14,-0.036652,-0.000458
0.7910,-14,-0.036652,-0.000458
0.8010,-14,-0.036652,-0.000458
0.8110,-14,-0.036652,-0.000458
0.8210,-14,-0.036652,-0.000458
0.8310,-14,-0.036652,-0.000458
0.8410,-14,-0.036652,-0.000458
0.8510,-14,-0.036652,-0.000458
0.8610,-14,-0.036652,-0.000458
0.8710,-14,-0.036652,-0.000458
0.8810,-14,-0.036652,-0.000458
0.8910,-14,-0.036652,-0.000458
0.9010,-14,-0.036652,-0.000458
0.9110,-14,-0.036652,-0.000458
0.9210,-14,-0.036652,-0.000458
0.9310,-14,-0.036652,-0.000458
0.9410,-14,-0.036652,-0.000458
0.9510,-15,-0.039270,-0.000491
0.9610,-15,-0.039270,-0.000491
0.9710,-15,-0.039270,-0.000491
0.9810,-15,-0.039270,-0.000491
0.9910,-14,-0.036652,-0.000458
1.0010,-14,-0.036652,-0.000458
1.0110,-14,-0.036652,-0.000458
1.0210,-14,-0.036652,-0.000458
1.0310,-14,-0.036652,-0.000458
1.0410,-14,-0.036652,-0.000458
1.0510,-14,-0.036652,-0.000458
1.0610,-15,-0.039270,-0.000491
1.0710,-15,-0.039270,-0.000491
1.0810,-15,-0.039270,-0.000491
1.0910,-15,-0.039270,-0.000491
1.1010,-15,-0.039270,-0.000491
1.1110,-15,-0.039270,-0.000491
1.1210,-15,-0.039270,-0.000491
1.1310,-15,-0.039270,-0.000491
1.1410,-15,-0.039270,-0.000491
1.1510,-15,-0.039270,-0.000491
1.1610,-15,-0.039270,-0.000491
1.1710,-15,-0.039270,-0.000491
1.1810,-15,-0.039270,-0.000491
1.1910,-15,-0.039270,-0.000491
1.2010,-16,-0.041888,-0.000524
