t_s,count,theta_rad,x_m
0.0000,-173,-0.452913,-0.005661
0.0020,-173,-0.452913,-0.005661
0.0050,-174,-0.455531,-0.005694
0.0080,-175,-0.458149,-0.005727
0.0110,-175,-0.458149,-0.005727
0.0130,-175,-0.458149,-0.005727
0.0160,-176,-0.460767,-0.005760
0.0180,-176,-0.460767,-0.005760
0.0210,-176,-0.460767,-0.005760
0.0230,-176,-0.460767,-0.005760
0.0260,-176,-0.460767,-0.005760
0.0280,-176,-0.460767,-0.005760
0.0310,-176,-0.460767,-0.005760
0.0340,-176,-0.460767,-0.005760
0.0360,-176,-0.460767,-0.005760
0.0390,-176,-0.460767,-0.005760
0.0420,-176,-0.460767,-0.005760
0.0450,-176,-0.460767,-0.005760
0.0470,-176,-0.460767,-0.005760
0.0510,-176,-0.460767,-0.005760
0.0540,-176,-0.460767,-0.005760
0.0570,-176,-0.460767,-0.005760
0.0590,-176,-0.460767,-0.005760
0.0620,-176,-0.460767,-0.005760
0.0650,-176,-0.460767,-0.005760
0.0670,-176,-0.460767,-0.005760
0.0700,-176,-0.460767,-0.005760
0.0730,-176,-0.460767,-0.005760
0.0760,-176,-0.460767,-0.005760
0.0780,-176,-0.460767,-0.005760
0.0810,-176,-0.460767,-0.005760
0.0840,-177,-0.463385,-0.005792
0.0870,-177,-0.463385,-0.005792
0.0890,-178,-0.466003,-0.005825
0.0930,-178,-0.466003,-0.005825
0.0960,-178,-0.466003,-0.005825
0.0990,-178,-0.466003,-0.005825
0.1010,-178,-0.466003,-0.005825
0.1040,-179,-0.468621,-0.005858
0.1070,-179,-0.468621,-0.005858
0.1100,-179,-0.468621,-0.005858
0.1120,-179,-0.468621,-0.005858
0.1150,-180,-0.471239,-0.005890
0.1180,-180,-0.471239,-0.005890
0.1210,-180,-0.471239,-0.005890
0.1230,-180,-0.471239,-0.005890
0.1260,-180,-0.471239,-0.005890
0.1290,-180,-0.471239,-0.005890
0.1310,-180,-0.471239,-0.005890
0.1350,-181,-0.473857,-0.005923
0.1380,-181,-0.473857,-0.005923
0.1410,-181,-0.473857,-0.005923
0.1430,-181,-0.473857,-0.005923
0.1460,-181,-0.473857,-0.005923
0.1490,-181,-0.473857,-0.005923
0.1520,-181,-0.473857,-0.005923
0.1540,-181,-0.473857,-0.005923
0.1570,-181,-0.473857,-0.005923
0.1600,-181,-0.473857,-0.005923
0.1630,-181,-0.473857,-0.005923
0.1650,-180,-0.471239,-0.005890
0.1680,-180,-0.471239,-0.005890
0.1710,-180,-0.471239,-0.005890
0.1740,-180,-0.471239,-0.005890
0.1770,-180,-0.471239,-0.005890
0.1800,-180,-0.471239,-0.005890
0.1830,-180,-0.471239,-0.005890
0.1860,-180,-0.471239,-0.005890
0.1880,-180,-0.471239,-0.005890
0.1910,-180,-0.471239,-0.005890
0.1940,-180,-0.471239,-0.005890
0.1960,-180,-0.471239,-0.005890
0.1990,-180,-0.471239,-0.005890
0.2020,-180,-0.471239,-0.005890
0.2050,-180,-0.471239,-0.005890
0.2070,-180,-0.471239,-0.005890
0.2100,-180,-0.471239,-0.005890
0.2130,-180,-0.471239,-0.005890
0.2160,-180,-0.471239,-0.005890
0.2180,-180,-0.471239,-0.005890
0.2220,-180,-0.471239,-0.005890
0.2250,-180,-0.471239,-0.005890
0.2280,-181,-0.473857,-0.005923
0.2300,-181,-0.473857,-0.005923
0.2330,-181,-0.473857,-0.005923
0.2360,-181,-0.473857,-0.005923
0.2390,-181,-0.473857,-0.005923
0.2410,-181,-0.473857,-0.005923
0.2440,-181,-0.473857,-0.005923
0.2470,-182,-0.476475,-0.005956
0.2500,-182,-0.476475,-0.005956
0.2520,-182,-0.476475,-0.005956
0.2550,-182,-0.476475,-0.005956
0.2580,-182,-0.476475,-0.005956
0.2610,-182,-0.476475,-0.005956
0.2640,-182,-0.476475,-0.005956
0.2670,-182,-0.476475,-0.005956
0.2700,-182,-0.476475,-0.005956
0.2720,-183,-0.479093,-0.005989
0.2750,-183,-0.479093,-0.005989
0.2780,-183,-0.479093,-0.005989
0.2810,-183,-0.479093,-0.005989
0.2830,-183,-0.479093,-0.005989
0.2860,-183,-0.479093,-0.005989
0.2890,-183,-0.479093,-0.005989
0.2920,-182,-0.476475,-0.005956
0.2940,-182,-0.476475,-0.005956
0.2970,-182,-0.476475,-0.005956
0.3000,-182,-0.476475,-0.005956
0.3030,-182,-0.476475,-0.005956
0.3060,-182,-0.476475,-0.005956
0.3090,-182,-0.476475,-0.005956
0.3120,-182,-0.476475,-0.005956
0.3150,-182,-0.476475,-0.005956
0.3170,-182,-0.476475,-0.005956
0.3200,-182,-0.476475,-0.005956
0.3230,-182,-0.476475,-0.005956
0.3260,-182,-0.476475,-0.005956
0.3280,-182,-0.476475,-0.005956
0.3310,-182,-0.476475,-0.005956
0.3340,-181,-0.473857,-0.005923
0.3360,-181,-0.473857,-0.005923
0.3390,-181,-0.473857,-0.005923
0.3420,-181,-0.473857,-0.005923
0.3450,-181,-0.473857,-0.005923
0.3480,-181,-0.473857,-0.005923
0.3510,-181,-0.473857,-0.005923
0.3540,-181,-0.473857,-0.005923
0.3570,-181,-0.473857,-0.005923
0.3590,-181,-0.473857,-0.005923
0.3620,-182,-0.476475,-0.005956
0.3650,-182,-0.476475,-0.005956
0.3680,-183,-0.479093,-0.005989
0.3700,-183,-0.479093,-0.005989
0.3730,-183,-0.479093,-0.005989
0.3760,-183,-0.479093,-0.005989
0.3790,-183,-0.479093,-0.005989
0.3810,-183,-0.479093,-0.005989
0.3840,-183,-0.479093,-0.005989
0.3870,-183,-0.479093,-0.005989
0.3910,-183,-0.479093,-0.005989
0.3930,-183,-0.479093,-0.005989
0.3960,-183,-0.479093,-0.005989
0.3990,-183,-0.479093,-0.005989
0.4010,-183,-0.479093,-0.005989
0.4040,-183,-0.479093,-0.005989
0.4070,-184,-0.481711,-0.006021
0.4100,-184,-0.481711,-0.006021
0.4120,-184,-0.481711,-0.006021
0.4150,-184,-0.481711,-0.006021
0.4180,-184,-0.481711,-0.006021
0.4210,-184,-0.481711,-0.006021
0.4230,-184,-0.481711,-0.006021
0.4260,-184,-0.481711,-0.006021
0.4290,-184,-0.481711,-0.006021
0.4330,-184,-0.481711,-0.006021
0.4350,-183,-0.479093,-0.005989
0.4380,-183,-0.479093,-0.005989
0.4410,-183,-0.479093,-0.005989
0.4440,-183,-0.479093,-0.005989
0.4460,-183,-0.479093,-0.005989
0.4490,-183,-0.479093,-0.005989
0.4520,-183,-0.479093,-0.005989
0.4550,-183,-0.479093,-0.005989
0.4570,-183,-0.479093,-0.005989
0.4600,-183,-0.479093,-0.005989
0.4630,-183,-0.479093,-0.005989
0.4650,-183,-0.479093,-0.005989
0.4680,-183,-0.479093,-0.005989
0.4710,-183,-0.479093,-0.005989
0.4740,-183,-0.479093,-0.005989
0.4770,-183,-0.479093,-0.005989
0.4800,-183,-0.479093,-0.005989
0.4830,-183,-0.479093,-0.005989
0.4860,-183,-0.479093,-0.005989
0.4880,-183,-0.479093,-0.005989
0.4910,-183,-0.479093,-0.005989
0.4940,-183,-0.479093,-0.005989
0.4970,-183,-0.479093,-0.005989
0.4990,-183,-0.479093,-0.005989
0.5020,-184,-0.481711,-0.006021
0.5050,-184,-0.481711,-0.006021
0.5080,-184,-0.481711,-0.006021
0.5100,-184,-0.481711,-0.006021
0.5130,-184,-0.481711,-0.006021
0.5160,-184,-0.481711,-0.006021
0.5200,-184,-0.481711,-0.006021
0.5220,-184,-0.481711,-0.006021
0.5250,-184,-0.481711,-0.006021
0.5280,-184,-0.481711,-0.006021
0.5300,-184,-0.481711,-0.006021
0.5330,-184,-0.481711,-0.006021
0.5360,-184,-0.481711,-0.006021
0.5390,-184,-0.481711,-0.006021
0.5410,-184,-0.481711,-0.006021
0.5440,-184,-0.481711,-0.006021
0.5470,-184,-0.481711,-0.006021
0.5500,-184,-0.481711,-0.006021
0.5520,-184,-0.481711,-0.006021
0.5550,-184,-0.481711,-0.006021
0.5580,-184,-0.481711,-0.006021
0.5620,-184,-0.481711,-0.006021
0.5640,-184,-0.481711,-0.006021
