t_s,count,theta_rad,x_m
0.0000,-3,-0.007854,-0.000098
0.0020,-3,-0.007854,-0.000098
0.0050,-3,-0.007854,-0.000098
0.0080,-3,-0.007854,-0.000098
0.0100,-3,-0.007854,-0.000098
0.0130,-3,-0.007854,-0.000098
0.0150,-3,-0.007854,-0.000098
0.0180,-3,-0.007854,-0.000098
0.0200,-3,-0.007854,-0.000098
0.0220,-3,-0.007854,-0.000098
0.0250,-3,-0.007854,-0.000098
0.0270,-3,-0.007854,-0.000098
0.0290,-3,-0.007854,-0.000098
0.0320,-3,-0.007854,-0.000098
0.0340,-3,-0.007854,-0.000098
0.0370,-3,-0.007854,-0.000098
0.0390,-3,-0.007854,-0.000098
0.0420,-3,-0.007854,-0.000098
0.0440,-3,-0.007854,-0.000098
0.0470,-3,-0.007854,-0.000098
0.0500,-3,-0.007854,-0.000098
0.0530,-3,-0.007854,-0.000098
0.0560,-3,-0.007854,-0.000098
0.0580,-3,-0.007854,-0.000098
0.0610,-3,-0.007854,-0.000098
0.0630,-4,-0.010472,-0.000131
0.0660,-4,-0.010472,-0.000131
0.0680,-4,-0.010472,-0.000131
0.0710,-4,-0.010472,-0.000131
0.0740,-4,-0.010472,-0.000131
0.0760,-4,-0.010472,-0.000131
0.0790,-4,-0.010472,-0.000131
0.0810,-4,-0.010472,-0.000131
0.0840,-4,-0.010472,-0.000131
0.0870,-4,-0.010472,-0.000131
0.0890,-4,-0.010472,-0.000131
0.0930,-4,-0.010472,-0.000131
0.0950,-4,-0.010472,-0.000131
0.0980,-4,-0.010472,-0.000131
0.1000,-4,-0.010472,-0.000131
0.1030,-4,-0.010472,-0.000131
0.1060,-4,-0.010472,-0.000131
0.1080,-4,-0.010472,-0.000131
0.1110,-4,-0.010472,-0.000131
0.1130,-4,-0.010472,-0.000131
0.1160,-4,-0.010472,-0.000131
0.1180,-4,-0.010472,-0.000131
0.1210,-4,-0.010472,-0.000131
0.1240,-4,-0.010472,-0.000131
0.1260,-4,-0.010472,-0.000131
0.1290,-4,-0.010472,-0.000131
0.1310,-4,-0.010472,-0.000131
0.1350,-4,-0.010472,-0.000131
0.1370,-4,-0.010472,-0.000131
0.1400,-4,-0.010472,-0.000131
0.1430,-4,-0.010472,-0.000131
0.1450,-4,-0.010472,-0.000131
0.1480,-4,-0.010472,-0.000131
0.1500,-4,-0.010472,-0.000131
0.1530,-4,-0.010472,-0.000131
0.1550,-4,-0.010472,-0.000131
0.1580,-4,-0.010472,-0.000131
0.1610,-4,-0.010472,-0.000131
0.1630,-4,-0.010472,-0.000131
0.1660,-4,-0.010472,-0.000131
0.1680,-4,-0.010472,-0.000131
0.1710,-4,-0.010472,-0.000131
0.1730,-4,-0.010472,-0.000131
0.1770,-4,-0.010472,-0.000131
0.1800,-4,-0.010472,-0.000131
0.1820,-5,-0.013090,-0.000164
0.1850,-5,-0.013090,-0.000164
0.1870,-5,-0.013090,-0.000164
0.1900,-5,-0.013090,-0.000164
0.1920,-5,-0.013090,-0.000164
0.1950,-5,-0.013090,-0.000164
0.1980,-5,-0.013090,-0.000164
0.2000,-5,-0.013090,-0.000164
0.2030,-5,-0.013090,-0.000164
0.2050,-5,-0.013090,-0.000164
0.2080,-5,-0.013090,-0.000164
0.2100,-5,-0.013090,-0.000164
0.2130,-5,-0.013090,-0.000164
0.2160,-5,-0.013090,-0.000164
0.2180,-5,-0.013090,-0.000164
0.2220,-5,-0.013090,-0.000164
0.2240,-5,-0.013090,-0.000164
0.2270,-5,-0.013090,-0.000164
0.2290,-5,-0.013090,-0.000164
0.2320,-5,-0.013090,-0.000164
0.2350,-5,-0.013090,-0.000164
0.2370,-5,-0.013090,-0.000164
0.2400,-5,-0.013090,-0.000164
0.2420,-5,-0.013090,-0.000164
0.2450,-5,-0.013090,-0.000164
0.2470,-5,-0.013090,-0.000164
0.2500,-5,-0.013090,-0.000164
0.2530,-5,-0.013090,-0.000164
0.2550,-5,-0.013090,-0.000164
0.2580,-5,-0.013090,-0.000164
0.2600,-5,-0.013090,-0.000164
0.2640,-5,-0.013090,-0.000164
0.2660,-5,-0.013090,-0.000164
0.2690,-5,-0.013090,-0.000164
0.2720,-5,-0.013090,-0.000164
0.2740,-5,-0.013090,-0.000164
0.2770,-5,-0.013090,-0.000164
0.2790,-5,-0.013090,-0.000164
0.2820,-5,-0.013090,-0.000164
0.2840,-5,-0.013090,-0.000164
0.2870,-6,-0.015708,-0.000196
0.2900,-6,-0.015708,-0.000196
0.2920,-6,-0.015708,-0.000196
0.2950,-6,-0.015708,-0.000196
0.2970,-6,-0.015708,-0.000196
0.3000,-6,-0.015708,-0.000196
0.3030,-6,-0.015708,-0.000196
0.3060,-6,-0.015708,-0.000196
0.3090,-6,-0.015708,-0.000196
0.3110,-6,-0.015708,-0.000196
0.3140,-6,-0.015708,-0.000196
0.3160,-6,-0.015708,-0.000196
0.3190,-6,-0.015708,-0.000196
0.3220,-6,-0.015708,-0.000196
0.3240,-6,-0.015708,-0.000196
0.3270,-6,-0.015708,-0.000196
0.3290,-6,-0.015708,-0.000196
0.3320,-6,-0.015708,-0.000196
0.3340,-6,-0.015708,-0.000196
0.3370,-6,-0.015708,-0.000196
0.3400,-6,-0.015708,-0.000196
0.3420,-6,-0.015708,-0.000196
0.3450,-6,-0.015708,-0.000196
0.3480,-6,-0.015708,-0.000196
0.3510,-6,-0.015708,-0.000196
0.3530,-6,-0.015708,-0.000196
0.3560,-6,-0.015708,-0.000196
0.3590,-6,-0.015708,-0.000196
0.3610,-6,-0.015708,-0.000196
0.3640,-6,-0.015708,-0.000196
0.3660,-6,-0.015708,-0.000196
0.3690,-6,-0.015708,-0.000196
0.3710,-6,-0.015708,-0.000196
0.3740,-6,-0.015708,-0.000196
0.3770,-6,-0.015708,-0.000196
0.3790,-6,-0.015708,-0.000196
0.3820,-6,-0.015708,-0.000196
0.3840,-6,-0.015708,-0.000196
0.3870,-6,-0.015708,-0.000196
0.3890,-6,-0.015708,-0.000196
0.3930,-6,-0.015708,-0.000196
0.3960,-6,-0.015708,-0.000196
0.3980,-6,-0.015708,-0.000196
0.4010,-6,-0.015708,-0.000196
0.4030,-6,-0.015708,-0.000196
0.4060,-6,-0.015708,-0.000196
