file_id,time,waiting_time,magnitude
1,7.591,,0.0003930000000000001
1,8.961,1.3200000000000003,0.0
1,9.441,0.2400000000000002,0.003436
1,15.591,6.029999999999999,0.015282999999999998
1,29.981,13.600000000000001,0.014659999999999996
1,45.951,15.690000000000001,0.002813999999999997
1,46.661,0.21000000000000085,0.020191000000000008
1,51.151,4.0,0.0014070000000000055
1,52.371,1.0799999999999983,0.019797999999999996
1,52.981,0.28999999999999915,0.003272999999999998
1,56.281,3.259999999999998,0.0
1,61.691,5.149999999999999,0.01207599999999999
1,61.991,0.1700000000000017,0.0
1,63.831,1.7899999999999991,0.0003599999999999992
1,67.051,3.1400000000000006,0.008476000000000011
1,69.111,1.730000000000004,0.015052999999999983
1,152.781,83.43999999999998,0.0008179999999999854
1,156.071,3.0800000000000125,0.009458000000000022
1,165.331,8.730000000000018,0.012009999999999993
1,172.801,7.239999999999981,0.00016399999999999748
1,207.481,34.31,0.005268999999999996
1,210.731,3.030000000000001,0.005398999999999987
1,211.292,0.2609999999999957,0.0
1,214.191,2.899000000000001,9.800000000001474e-05
1,214.421,0.14000000000001478,0.007984999999999992
1,218.111,1.7199999999999989,0.06960600000000003
1,255.421,36.54999999999998,0.006512000000000018
1,256.811,1.2500000000000284,0.0007850000000000357
1,259.951,3.0500000000000114,0.0019959999999999978
1,260.231,0.21999999999997044,0.0
1,263.301,2.9399999999999977,0.013711999999999946
1,263.761,0.13999999999998636,0.008083000000000007
1,264.551,0.6299999999999955,0.0032400000000000206
1,264.811,0.14999999999997726,0.0
1,269.161,4.350000000000023,9.799999999998699e-05
1,269.611,0.4399999999999977,0.00019599999999997397
1,279.251,9.57000000000005,0.0009500000000000064
1,325.651,46.20999999999998,0.015248999999999957
1,327.581,1.7099999999999795,0.0017670000000000186
1,328.391,0.30000000000001137,0.01613300000000001
1,332.581,3.9499999999999886,0.013907999999999976
1,336.841,3.740000000000009,0.0006220000000000114
1,339.961,2.7700000000000387,0.01112599999999997
1,341.481,1.1000000000000227,0.008148000000000044
1,342.171,0.29000000000002046,0.02015800000000001
1,342.641,0.13999999999998636,0.00035999999999997145
1,342.801,0.14999999999997726,0.0
1,343.121,0.160000000000025,0.0012429999999999941
1,344.061,0.8700000000000045,0.00019700000000000273
1,344.581,0.5200000000000387,9.799999999998699e-05
1,346.801,2.2099999999999795,0.0003270000000000217
1,347.081,0.2400000000000091,0.0
1,350.621,3.1899999999999977,0.012828000000000006
1,359.601,8.759999999999991,9.799999999998699e-05
1,368.621,8.900000000000034,0.004155999999999993
1,600.621,231.93,0.0013090000000000046
1,619.201,18.530000000000086,0.0014729999999999466
1,619.571,0.18000000000006366,9.799999999993148e-05
1,622.681,2.919999999999959,0.0031410000000000604
1,623.871,1.1100000000000136,0.0
1,624.381,0.2899999999999636,0.02081300000000008
1,625.151,0.36000000000001364,0.003894000000000064
1,631.971,6.529999999999973,0.005464999999999942
1,661.151,28.710000000000036,0.004058000000000006
1,674.181,12.629999999999995,0.014170000000000016
1,674.371,0.13999999999998636,9.799999999993148e-05
1,675.411,0.9900000000000091,0.003009999999999957
1,686.061,10.549999999999955,0.0016039999999999388
2,8.601,,0.0023230000000000004
2,11.451,2.49,0.0064139999999999996
2,34.201,22.14,0.024805000000000004
2,34.811,0.5200000000000031,0.00029499999999999665
2,42.361,7.450000000000003,0.006545000000000002
2,43.281,0.47000000000000597,0.003927
2,46.831,2.969999999999999,0.0061189999999999994
2,55.201,7.600000000000001,0.04277199999999999
2,56.221,0.6899999999999977,0.0025519999999999987
2,68.711,12.270000000000003,0.009653999999999996
2,73.541,4.590000000000003,0.0006869999999999932
2,74.781,1.0499999999999972,0.00516999999999998
2,83.741,8.829999999999998,0.0006539999999999879
2,84.511,0.7099999999999937,0.0006879999999999942
2,88.681,3.7299999999999898,0.006380999999999998
2,89.091,0.35999999999999943,0.0006869999999999932
2,89.481,0.3299999999999983,0.00016399999999999748
2,105.731,14.079999999999998,0.09032099999999998
2,110.631,4.480000000000004,0.0012429999999999941
2,111.661,0.7600000000000051,0.040415000000000034
2,119.071,6.069999999999993,0.0
2,124.201,5.1299999999999955,0.0
2,124.621,0.37000000000000455,0.007036000000000042
2,125.201,0.20000000000000284,0.0011450000000000071
2,128.961,3.249999999999986,0.020157999999999954
2,137.731,8.080000000000013,0.07366400000000001
2,141.701,3.3000000000000114,0.0014399999999999968
2,149.351,7.509999999999991,0.00039200000000000346
2,161.511,11.969999999999999,0.012500999999999984
2,164.461,2.1499999999999773,0.009556000000000009
2,165.521,0.5600000000000023,0.017639000000000016
2,165.941,0.13999999999998636,0.0010470000000000201
2,169.391,3.3899999999999864,0.0
2,169.601,0.14000000000001478,0.0066110000000000335
2,169.911,0.14000000000001478,0.0
2,174.321,4.400000000000006,0.00045799999999995844
2,176.801,2.4099999999999966,0.0002949999999999342
2,178.551,1.6899999999999977,0.0007519999999999749
2,179.391,0.5600000000000023,0.00801799999999997
2,181.461,1.9000000000000057,0.0
2,181.641,0.1799999999999784,0.0007849999999999246
2,182.091,0.29999999999998295,0.00013099999999999223
2,184.441,2.3100000000000023,0.006512999999999991
2,184.831,0.13999999999998636,0.0008179999999999854
2,185.321,0.13999999999998636,0.017180000000000084
2,204.391,18.810000000000002,0.00700400000000001
2,207.721,3.1100000000000136,0.00026199999999998447
2,210.381,2.4399999999999977,0.013122999999999996
2,211.231,0.25,0.0020290000000000585
2,212.241,0.8900000000000148,0.0031409999999999494
2,217.701,5.280000000000001,0.003043000000000018
2,218.341,0.3299999999999841,0.009719999999999951
2,225.581,6.960000000000008,0.009391999999999956
2,225.941,0.21000000000000796,0.0
2,228.971,2.710000000000008,0.02349699999999999
2,243.871,14.689999999999998,0.0
2,245.861,1.8400000000000034,0.0009820000000000384
2,246.131,0.15000000000000568,0.0007859999999999534
2,247.501,1.3300000000000125,0.0
2,252.911,5.409999999999997,0.0
2,257.361,3.8899999999999864,0.052949000000000024
2,262.781,5.079999999999984,0.01112599999999997
2,263.541,0.17999999999994998,0.001406999999999936
2,268.691,4.990000000000009,0.003043000000000018
2,269.041,0.14100000000001955,0.0027159999999999407
2,269.331,0.13999999999998636,0.003762999999999961
2,269.701,0.18000000000000682,0.0
2,269.841,0.13999999999998636,0.0
2,270.711,0.8299999999999841,0.0015049999999999786
2,276.361,5.479999999999961,0.004287000000000041
3,57.121,,0.022285
3,69.021,11.649999999999999,0.003238999999999999
3,69.361,0.29000000000000625,0.0
3,69.651,0.1599999999999966,0.012567000000000002
3,76.571,6.719999999999999,0.0002620000000000053
3,76.961,0.29999999999999716,0.007691000000000003
3,79.851,2.240000000000009,0.00975200000000001
3,83.581,3.5,0.0028470000000000023
3,84.941,0.9699999999999989,0.052818000000000004
3,85.931,0.20000000000000284,0.0
3,89.131,3.030000000000001,0.017670999999999992
3,91.381,1.7399999999999949,0.01109400000000002
3,117.991,26.22,0.013156000000000001
3,128.851,10.709999999999994,0.0008179999999999854
3,133.161,4.260000000000019,0.0002949999999999897
3,157.171,23.799999999999983,0.012859999999999983
3,159.341,1.5800000000000125,0.007690000000000002
3,173.441,14.069999999999993,9.799999999998699e-05
3,174.651,0.7900000000000205,0.04856399999999997
3,176.361,0.45000000000001705,0.15603299999999998
3,189.571,10.830000000000013,0.008803000000000005
3,193.101,2.4099999999999966,0.06826400000000005
3,196.371,3.0700000000000216,0.0
3,196.641,0.2699999999999818,0.0002949999999999342
3,197.671,0.5099999999999909,0.06581000000000004
3,198.781,0.539999999999992,0.0014399999999999968
3,199.501,0.18999999999999773,0.01125799999999999
3,207.511,7.859999999999985,0.00036000000000002697
3,210.111,2.4509999999999934,0.002977999999999925
4,13.671,,0.0009820000000000002
4,14.921,1.0999999999999996,0.0015380000000000003
4,16.021,0.1899999999999995,0.081813
4,19.711,2.5500000000000007,0.0006540000000000018
4,21.521,1.1699999999999982,0.020846000000000003
4,22.421,0.21999999999999886,0.02765200000000001
4,42.001,19.37,0.004941000000000001
4,43.561,1.1999999999999957,0.00854100000000002
4,58.521,14.89,0.0008499999999999897
4,61.561,2.979999999999997,0.0
4,62.231,0.5399999999999991,0.01492199999999999
4,64.211,1.480000000000004,0.010864999999999986
4,74.241,9.409999999999997,0.04715699999999998
4,76.611,1.4000000000000057,0.010569999999999968
4,76.801,0.14000000000000057,9.799999999998699e-05
4,77.311,0.14999999999999147,0.0036329999999999973
4,92.571,14.840000000000003,0.02843800000000002
4,92.871,0.14000000000000057,0.0
4,94.281,1.3500000000000085,0.0016369999999999996
4,94.461,0.14999999999999147,0.0
4,96.491,1.9500000000000028,0.004025000000000001
4,109.301,12.760000000000005,0.0018329999999999735
4,109.621,0.15000000000000568,0.0003929999999999767
4,110.761,1.1000000000000085,0.0007860000000000089
4,110.971,0.14000000000000057,0.0003929999999999767
4,112.371,1.2800000000000011,0.007067999999999963
4,113.711,1.1000000000000085,0.012239
4,114.491,0.45999999999999375,0.001570999999999989
4,130.121,15.439999999999998,0.020092999999999972
4,130.711,0.160000000000025,0.0
4,131.111,0.3499999999999943,0.0011780000000000124
4,141.681,10.079999999999984,0.03347800000000001
4,143.491,1.490000000000009,0.0020950000000000135
4,145.731,1.7800000000000011,0.04610900000000001
4,146.661,0.14000000000001478,0.011880000000000002
4,147.471,0.3300000000000125,0.00029400000000001647
4,148.141,0.6399999999999864,0.0009489999999999776
4,149.181,0.27000000000001023,0.04349200000000003
4,158.851,8.990000000000009,0.004843000000000042
4,165.101,6.210000000000008,0.0
4,166.011,0.9099999999999966,0.0
4,172.521,6.390000000000015,0.0048759999999999915
4,172.711,0.15000000000000568,0.0
4,210.591,37.69999999999999,0.00805100000000003
4,212.491,1.6599999999999966,0.012468000000000035
4,213.341,0.22999999999998977,0.011845999999999912
4,227.251,13.740000000000009,0.0
4,240.791,13.539999999999992,0.0
5,2.451,,0.005171
5,4.721,2.12,0.0008510000000000011
5,5.271,0.5099999999999998,0.0002950000000000001
5,5.811,0.3699999999999992,0.018751999999999998
5,6.661,0.16000000000000014,0.031972
5,16.591,9.240000000000002,0.004973999999999992
5,131.801,114.66000000000001,0.059003000000000014
5,134.721,2.069999999999993,0.0
5,145.181,10.340000000000003,0.0035350000000000104
5,146.961,1.3899999999999864,0.008148000000000016
5,149.781,2.640000000000015,0.0
5,152.101,2.079999999999984,0.008736999999999995
5,155.081,2.660000000000025,0.017311999999999994
5,157.201,1.5010000000000048,0.008573999999999998
5,157.821,0.45000000000001705,0.014693999999999985
5,158.751,0.6500000000000057,0.0006540000000000157
5,160.661,1.8200000000000216,0.0017669999999999908
5,160.851,0.14000000000001478,9.799999999998699e-05
5,161.471,0.521000000000015,0.03203800000000001
5,165.761,3.469999999999999,0.0007519999999999749
5,187.991,22.19999999999999,0.0027820000000000067
5,188.521,0.28000000000000114,0.0003270000000000217
5,188.671,0.13999999999998636,0.00016399999999999748
5,190.331,0.22999999999998977,0.05343999999999999
5,200.731,9.990000000000009,0.004188999999999998
5,201.891,0.6899999999999977,0.013548000000000004
5,208.001,5.840000000000003,0.004908999999999997
5,208.511,0.14000000000001478,0.0063810000000000255
5,212.351,3.6599999999999966,0.0
5,215.961,2.9199999999999875,0.04532400000000003
5,216.361,0.23999999999998067,0.0
5,235.481,18.900000000000006,0.020484999999999975
5,236.771,0.9599999999999795,0.0012110000000000176
5,261.781,24.569999999999993,0.033281000000000005
5,268.421,6.25,0.0
5,325.611,56.98000000000002,0.008149000000000017
5,341.031,15.200000000000045,0.0015049999999999786
5,343.371,2.240000000000009,0.0004910000000000192
5,345.041,1.660000000000025,0.0
5,350.781,5.600000000000023,0.035015999999999936
5,472.351,121.04999999999995,0.0012430000000001051
5,473.261,0.8300000000000409,0.00045800000000006946
5,474.751,1.42999999999995,0.0005230000000000512
5,475.181,0.17000000000001592,0.015217000000000036
5,479.231,3.759999999999991,0.0027169999999999694
5,480.161,0.6100000000000136,0.015315999999999996
6,10.181,,0.0006869999999999999
6,11.801,1.5099999999999998,0.016722
6,16.861,4.4,0.004287000000000003
6,31.321,14.27,0.019570000000000004
6,38.771,7.050000000000004,0.004548000000000003
6,40.831,1.25,0.035048
6,42.221,0.8500000000000014,0.004876000000000005
6,48.711,6.109999999999999,0.009589
6,49.301,0.28999999999999915,0.0
6,51.201,1.7800000000000011,0.013515000000000013
6,57.381,5.980000000000004,0.0038610000000000033
6,210.451,152.94,0.0026830000000000187
6,240.131,28.810000000000002,0.018096999999999974
6,240.441,0.14000000000001478,0.0
6,240.711,0.27000000000001023,0.0
6,253.221,12.429999999999978,0.00919600000000001
6,254.181,0.6289999999999907,0.0014399999999999968
6,254.611,0.25,0.0
6,255.861,1.200000000000017,0.0035340000000000094
6,257.181,1.1199999999999761,0.0026830000000000187
6,265.491,8.120000000000005,0.0008509999999999907
6,267.121,1.5200000000000387,0.0016359999999999986
6,275.531,7.5,0.04846599999999998
6,276.971,0.6500000000000341,0.01515099999999997
6,286.791,9.569999999999993,0.006119999999999959
6,287.121,0.18999999999999773,9.799999999998699e-05
6,289.091,1.7800000000000296,0.020419999999999994
6,295.531,5.899999999999977,0.002682999999999991
6,309.031,13.339999999999975,0.002715999999999996
6,309.251,0.16999999999995907,0.0002609999999999557
6,318.321,8.930000000000007,0.00559599999999999
6,319.101,0.37000000000000455,0.008869000000000016
6,326.171,6.8799999999999955,0.0005239999999999689
6,329.451,3.2600000000000477,0.00029400000000001647
6,330.141,0.2300000000000182,0.013744000000000034
6,331.981,1.5600000000000023,0.00042599999999998195
6,390.361,58.379999999999995,0.0
6,395.821,5.3700000000000045,0.001931000000000016
6,398.061,1.5,0.01734399999999997
6,398.991,0.8700000000000045,9.799999999998699e-05
6,414.511,15.510000000000048,0.0002949999999999897
6,419.541,5.0,0.0
6,420.691,1.031000000000006,0.01243500000000003
6,422.591,1.7200000000000273,0.0
6,422.851,0.15999999999996817,0.004122999999999988
6,424.601,1.6200000000000045,0.00039200000000000346
6,449.881,24.930000000000007,0.012566999999999995
6,461.601,11.490999999999985,0.00451600000000002
6,462.071,0.30000000000001137,0.0
6,466.331,3.919999999999959,0.049053999999999987
6,479.011,11.629999999999995,0.060083
6,479.781,0.160000000000025,0.038614999999999955
7,2.691,,0.0008180000000000002
7,3.571,0.5899999999999999,0.013449999999999998
7,22.141,17.720000000000002,0.027226999999999998
7,22.731,0.21000000000000085,0.0026499999999999996
7,28.061,5.23,0.003043999999999998
7,29.221,0.39000000000000057,0.016788000000000004
7,34.271,4.9999999999999964,0.0005560000000000009
7,95.741,61.17999999999999,0.02752199999999999
7,97.601,1.4399999999999977,0.014301000000000008
7,106.031,8.149999999999991,0.024281999999999998
7,107.001,0.23000000000000398,0.012565999999999994
7,111.401,4.099999999999994,0.010865000000000014
7,114.291,2.510000000000005,0.0042210000000000025
7,114.801,0.21999999999999886,0.007331000000000004
7,115.461,0.4899999999999949,0.0005560000000000009
7,117.481,1.8800000000000097,0.002618000000000009
7,118.461,0.6099999999999994,0.022808999999999996
7,119.761,0.8299999999999983,0.002814000000000011
7,130.181,9.569999999999993,0.040087999999999985
7,170.181,39.75,0.0
7,171.461,1.2099999999999795,0.001438999999999968
7,172.021,0.5099999999999909,0.0008179999999999854
7,173.001,0.6999999999999886,0.01243500000000003
7,178.451,5.030000000000001,0.007363000000000008
7,179.011,0.1599999999999966,0.0035339999999999816
7,191.151,11.100000000000023,0.028405999999999987
7,191.401,0.14000000000001478,0.0
7,195.581,4.109999999999985,0.020125000000000004
7,216.221,19.669999999999987,0.084725
7,218.431,1.25,0.04080800000000001
7,219.311,0.14000000000001478,0.015477999999999992
