t_s,count,theta_rad,x_m
0.0000,-3,-0.007854,-0.000098
0.0020,-3,-0.007854,-0.000098
0.0050,-3,-0.007854,-0.000098
0.0080,-3,-0.007854,-0.000098
0.0100,-3,-0.007854,-0.000098
0.0130,-3,-0.007854,-0.000098
0.0150,-3,-0.007854,-0.000098
0.0180,-3,-0.007854,-0.000098
0.0200,-3,-0.007854,-0.000098
0.0220,-3,-0.007854,-0.000098
0.0250,-2,-0.005236,-0.000065
0.0270,-2,-0.005236,-0.000065
0.0290,-2,-0.005236,-0.000065
0.0320,-2,-0.005236,-0.000065
0.0340,-2,-0.005236,-0.000065
0.0370,-2,-0.005236,-0.000065
0.0390,-2,-0.005236,-0.000065
0.0420,-2,-0.005236,-0.000065
0.0440,-2,-0.005236,-0.000065
0.0470,-2,-0.005236,-0.000065
0.0500,-2,-0.005236,-0.000065
0.0530,-2,-0.005236,-0.000065
0.0560,-2,-0.005236,-0.000065
0.0580,-2,-0.005236,-0.000065
0.0610,-2,-0.005236,-0.000065
0.0630,-2,-0.005236,-0.000065
0.0660,-2,-0.005236,-0.000065
0.0680,-2,-0.005236,-0.000065
0.0710,-2,-0.005236,-0.000065
0.0740,-2,-0.005236,-0.000065
0.0760,-3,-0.007854,-0.000098
0.0790,-3,-0.007854,-0.000098
0.0810,-3,-0.007854,-0.000098
0.0840,-3,-0.007854,-0.000098
0.0870,-3,-0.007854,-0.000098
0.0890,-3,-0.007854,-0.000098
0.0930,-3,-0.007854,-0.000098
0.0950,-3,-0.007854,-0.000098
0.0980,-3,-0.007854,-0.000098
0.1000,-3,-0.007854,-0.000098
0.1030,-3,-0.007854,-0.000098
0.1060,-3,-0.007854,-0.000098
0.1080,-3,-0.007854,-0.000098
0.1110,-3,-0.007854,-0.000098
0.1130,-3,-0.007854,-0.000098
0.1160,-3,-0.007854,-0.000098
0.1180,-3,-0.007854,-0.000098
0.1210,-3,-0.007854,-0.000098
0.1240,-3,-0.007854,-0.000098
0.1260,-3,-0.007854,-0.000098
0.1290,-3,-0.007854,-0.000098
0.1310,-3,-0.007854,-0.000098
0.1350,-3,-0.007854,-0.000098
0.1370,-3,-0.007854,-0.000098
0.1400,-3,-0.007854,-0.000098
0.1430,-3,-0.007854,-0.000098
0.1450,-3,-0.007854,-0.000098
0.1480,-3,-0.007854,-0.000098
0.1500,-3,-0.007854,-0.000098
0.1530,-3,-0.007854,-0.000098
0.1550,-3,-0.007854,-0.000098
0.1580,-3,-0.007854,-0.000098
0.1610,-3,-0.007854,-0.000098
0.1630,-3,-0.007854,-0.000098
0.1660,-3,-0.007854,-0.000098
0.1680,-3,-0.007854,-0.000098
0.1710,-3,-0.007854,-0.000098
0.1730,-3,-0.007854,-0.000098
0.1770,-3,-0.007854,-0.000098
0.1800,-3,-0.007854,-0.000098
0.1820,-3,-0.007854,-0.000098
0.1850,-3,-0.007854,-0.000098
0.1870,-3,-0.007854,-0.000098
0.1900,-3,-0.007854,-0.000098
0.1920,-3,-0.007854,-0.000098
0.1950,-3,-0.007854,-0.000098
0.1980,-3,-0.007854,-0.000098
0.2000,-3,-0.007854,-0.000098
0.2030,-3,-0.007854,-0.000098
0.2050,-3,-0.007854,-0.000098
0.2080,-3,-0.007854,-0.000098
0.2100,-3,-0.007854,-0.000098
0.2130,-3,-0.007854,-0.000098
0.2160,-4,-0.010472,-0.000131
0.2180,-4,-0.010472,-0.000131
0.2220,-4,-0.010472,-0.000131
0.2240,-4,-0.010472,-0.000131
0.2270,-4,-0.010472,-0.000131
0.2290,-4,-0.010472,-0.000131
0.2320,-4,-0.010472,-0.000131
0.2350,-4,-0.010472,-0.000131
0.2370,-4,-0.010472,-0.000131
0.2400,-4,-0.010472,-0.000131
0.2420,-5,-0.013090,-0.000164
0.2450,-5,-0.013090,-0.000164
0.2470,-5,-0.013090,-0.000164
0.2500,-5,-0.013090,-0.000164
0.2530,-5,-0.013090,-0.000164
0.2550,-5,-0.013090,-0.000164
0.2580,-5,-0.013090,-0.000164
0.2600,-5,-0.013090,-0.000164
0.2640,-5,-0.013090,-0.000164
0.2660,-5,-0.013090,-0.000164
0.2690,-5,-0.013090,-0.000164
0.2720,-5,-0.013090,-0.000164
0.2740,-5,-0.013090,-0.000164
0.2770,-5,-0.013090,-0.000164
0.2790,-5,-0.013090,-0.000164
0.2820,-5,-0.013090,-0.000164
0.2840,-5,-0.013090,-0.000164
0.2870,-5,-0.013090,-0.000164
0.2900,-5,-0.013090,-0.000164
0.2920,-5,-0.013090,-0.000164
0.2950,-5,-0.013090,-0.000164
0.2970,-5,-0.013090,-0.000164
0.3000,-5,-0.013090,-0.000164
0.3030,-5,-0.013090,-0.000164
0.3060,-5,-0.013090,-0.000164
0.3090,-5,-0.013090,-0.000164
0.3110,-5,-0.013090,-0.000164
0.3140,-5,-0.013090,-0.000164
0.3160,-5,-0.013090,-0.000164
0.3190,-5,-0.013090,-0.000164
0.3220,-5,-0.013090,-0.000164
0.3240,-5,-0.013090,-0.000164
0.3270,-5,-0.013090,-0.000164
0.3290,-5,-0.013090,-0.000164
0.3320,-5,-0.013090,-0.000164
0.3340,-5,-0.013090,-0.000164
0.3370,-5,-0.013090,-0.000164
0.3400,-5,-0.013090,-0.000164
0.3420,-5,-0.013090,-0.000164
0.3450,-5,-0.013090,-0.000164
0.3480,-5,-0.013090,-0.000164
0.3510,-5,-0.013090,-0.000164
0.3530,-5,-0.013090,-0.000164
0.3560,-5,-0.013090,-0.000164
0.3590,-5,-0.013090,-0.000164
0.3610,-5,-0.013090,-0.000164
0.3640,-5,-0.013090,-0.000164
0.3660,-5,-0.013090,-0.000164
0.3690,-5,-0.013090,-0.000164
0.3710,-5,-0.013090,-0.000164
0.3740,-5,-0.013090,-0.000164
0.3770,-6,-0.015708,-0.000196
0.3790,-6,-0.015708,-0.000196
0.3820,-6,-0.015708,-0.000196
0.3840,-6,-0.015708,-0.000196
0.3870,-6,-0.015708,-0.000196
0.3890,-6,-0.015708,-0.000196
0.3930,-6,-0.015708,-0.000196
0.3960,-6,-0.015708,-0.000196
0.3980,-6,-0.015708,-0.000196
0.4010,-6,-0.015708,-0.000196
0.4030,-7,-0.018326,-0.000229
0.4060,-7,-0.018326,-0.000229
