t_s,count,theta_rad,x_m
0.0000,-6,-0.015708,-0.000196
0.0020,-6,-0.015708,-0.000196
0.0050,-7,-0.018326,-0.000229
0.0080,-7,-0.018326,-0.000229
0.0100,-7,-0.018326,-0.000229
0.0130,-8,-0.020944,-0.000262
0.0150,-8,-0.020944,-0.000262
0.0180,-8,-0.020944,-0.000262
0.0200,-9,-0.023562,-0.000295
0.0220,-9,-0.023562,-0.000295
0.0250,-9,-0.023562,-0.000295
0.0270,-9,-0.023562,-0.000295
0.0300,-9,-0.023562,-0.000295
0.0320,-9,-0.023562,-0.000295
0.0340,-10,-0.026180,-0.000327
0.0370,-10,-0.026180,-0.000327
0.0390,-10,-0.026180,-0.000327
0.0420,-11,-0.028798,-0.000360
0.0450,-11,-0.028798,-0.000360
0.0470,-11,-0.028798,-0.000360
0.0510,-11,-0.028798,-0.000360
0.0540,-11,-0.028798,-0.000360
0.0560,-11,-0.028798,-0.000360
0.0590,-11,-0.028798,-0.000360
0.0620,-11,-0.028798,-0.000360
0.0640,-12,-0.031416,-0.000393
0.0670,-12,-0.031416,-0.000393
0.0700,-12,-0.031416,-0.000393
0.0720,-12,-0.031416,-0.000393
0.0750,-12,-0.031416,-0.000393
0.0780,-12,-0.031416,-0.000393
0.0800,-12,-0.031416,-0.000393
0.0830,-12,-0.031416,-0.000393
0.0860,-12,-0.031416,-0.000393
0.0880,-12,-0.031416,-0.000393
0.0920,-12,-0.031416,-0.000393
0.0940,-12,-0.031416,-0.000393
0.0970,-12,-0.031416,-0.000393
0.1000,-13,-0.034034,-0.000425
0.1020,-13,-0.034034,-0.000425
0.1050,-14,-0.036652,-0.000458
0.1080,-14,-0.036652,-0.000458
0.1100,-14,-0.036652,-0.000458
0.1130,-15,-0.039270,-0.000491
0.1160,-15,-0.039270,-0.000491
0.1180,-15,-0.039270,-0.000491
0.1210,-16,-0.041888,-0.000524
0.1240,-16,-0.041888,-0.000524
0.1260,-16,-0.041888,-0.000524
0.1290,-17,-0.044506,-0.000556
0.1320,-17,-0.044506,-0.000556
0.1350,-17,-0.044506,-0.000556
0.1380,-17,-0.044506,-0.000556
0.1410,-18,-0.047124,-0.000589
0.1430,-18,-0.047124,-0.000589
0.1460,-19,-0.049742,-0.000622
0.1490,-19,-0.049742,-0.000622
0.1510,-19,-0.049742,-0.000622
0.1540,-20,-0.052360,-0.000654
0.1570,-20,-0.052360,-0.000654
0.1590,-20,-0.052360,-0.000654
0.1620,-20,-0.052360,-0.000654
0.1650,-21,-0.054978,-0.000687
0.1670,-21,-0.054978,-0.000687
0.1700,-21,-0.054978,-0.000687
0.1730,-21,-0.054978,-0.000687
0.1750,-21,-0.054978,-0.000687
0.1790,-22,-0.057596,-0.000720
0.1810,-22,-0.057596,-0.000720
0.1840,-22,-0.057596,-0.000720
0.1870,-22,-0.057596,-0.000720
0.1890,-22,-0.057596,-0.000720
0.1920,-22,-0.057596,-0.000720
0.1950,-22,-0.057596,-0.000720
0.1970,-22,-0.057596,-0.000720
0.2000,-22,-0.057596,-0.000720
0.2030,-23,-0.060214,-0.000753
0.2050,-23,-0.060214,-0.000753
0.2080,-23,-0.060214,-0.000753
0.2110,-23,-0.060214,-0.000753
0.2130,-23,-0.060214,-0.000753
0.2160,-23,-0.060214,-0.000753
0.2200,-23,-0.060214,-0.000753
0.2220,-23,-0.060214,-0.000753
0.2250,-23,-0.060214,-0.000753
0.2280,-23,-0.060214,-0.000753
0.2300,-24,-0.062832,-0.000785
0.2330,-24,-0.062832,-0.000785
0.2360,-24,-0.062832,-0.000785
0.2380,-24,-0.062832,-0.000785
0.2410,-25,-0.065450,-0.000818
0.2440,-26,-0.068068,-0.000851
0.2460,-26,-0.068068,-0.000851
0.2490,-27,-0.070686,-0.000884
0.2520,-28,-0.073304,-0.000916
0.2540,-28,-0.073304,-0.000916
0.2570,-29,-0.075922,-0.000949
0.2600,-29,-0.075922,-0.000949
0.2630,-30,-0.078540,-0.000982
0.2660,-30,-0.078540,-0.000982
0.2680,-31,-0.081158,-0.001014
0.2710,-31,-0.081158,-0.001014
0.2740,-31,-0.081158,-0.001014
0.2760,-32,-0.083776,-0.001047
0.2790,-32,-0.083776,-0.001047
0.2820,-33,-0.086394,-0.001080
0.2840,-33,-0.086394,-0.001080
0.2870,-33,-0.086394,-0.001080
0.2900,-34,-0.089012,-0.001113
0.2920,-34,-0.089012,-0.001113
0.2950,-34,-0.089012,-0.001113
0.2980,-34,-0.089012,-0.001113
0.3000,-35,-0.091630,-0.001145
0.3030,-35,-0.091630,-0.001145
0.3070,-35,-0.091630,-0.001145
0.3090,-35,-0.091630,-0.001145
0.3120,-35,-0.091630,-0.001145
0.3150,-35,-0.091630,-0.001145
0.3170,-35,-0.091630,-0.001145
0.3200,-35,-0.091630,-0.001145
0.3230,-35,-0.091630,-0.001145
0.3250,-35,-0.091630,-0.001145
0.3280,-35,-0.091630,-0.001145
0.3310,-34,-0.089012,-0.001113
0.3330,-34,-0.089012,-0.001113
0.3360,-34,-0.089012,-0.001113
0.3390,-34,-0.089012,-0.001113
0.3410,-34,-0.089012,-0.001113
0.3440,-34,-0.089012,-0.001113
0.3480,-34,-0.089012,-0.001113
0.3500,-33,-0.086394,-0.001080
0.3530,-33,-0.086394,-0.001080
0.3550,-33,-0.086394,-0.001080
0.3580,-33,-0.086394,-0.001080
0.3610,-33,-0.086394,-0.001080
0.3630,-33,-0.086394,-0.001080
0.3660,-34,-0.089012,-0.001113
0.3690,-34,-0.089012,-0.001113
0.3710,-34,-0.089012,-0.001113
0.3740,-34,-0.089012,-0.001113
0.3770,-34,-0.089012,-0.001113
0.3790,-35,-0.091630,-0.001145
0.3820,-35,-0.091630,-0.001145
0.3850,-36,-0.094248,-0.001178
0.3870,-36,-0.094248,-0.001178
0.3910,-37,-0.096866,-0.001211
0.3940,-37,-0.096866,-0.001211
0.3960,-37,-0.096866,-0.001211
0.3990,-38,-0.099484,-0.001244
0.4020,-38,-0.099484,-0.001244
0.4040,-39,-0.102102,-0.001276
0.4070,-39,-0.102102,-0.001276
0.4100,-40,-0.104720,-0.001309
0.4120,-40,-0.104720,-0.001309
0.4150,-40,-0.104720,-0.001309
0.4180,-40,-0.104720,-0.001309
0.4200,-41,-0.107338,-0.001342
0.4230,-41,-0.107338,-0.001342
0.4260,-41,-0.107338,-0.001342
0.4280,-41,-0.107338,-0.001342
0.4310,-42,-0.109956,-0.001374
0.4350,-42,-0.109956,-0.001374
0.4370,-42,-0.109956,-0.001374
0.4400,-42,-0.109956,-0.001374
0.4420,-42,-0.109956,-0.001374
0.4450,-42,-0.109956,-0.001374
0.4480,-42,-0.109956,-0.001374
0.4500,-42,-0.109956,-0.001374
0.4530,-42,-0.109956,-0.001374
0.4560,-42,-0.109956,-0.001374
0.4580,-42,-0.109956,-0.001374
0.4610,-42,-0.109956,-0.001374
0.4640,-42,-0.109956,-0.001374
0.4660,-41,-0.107338,-0.001342
0.4690,-41,-0.107338,-0.001342
0.4720,-41,-0.107338,-0.001342
0.4740,-41,-0.107338,-0.001342
0.4780,-41,-0.107338,-0.001342
0.4810,-41,-0.107338,-0.001342
0.4830,-41,-0.107338,-0.001342
0.4860,-41,-0.107338,-0.001342
0.4890,-41,-0.107338,-0.001342
0.4910,-41,-0.107338,-0.001342
0.4940,-41,-0.107338,-0.001342
0.4970,-41,-0.107338,-0.001342
0.4990,-41,-0.107338,-0.001342
0.5020,-41,-0.107338,-0.001342
0.5050,-42,-0.109956,-0.001374
0.5070,-42,-0.109956,-0.001374
0.5100,-42,-0.109956,-0.001374
0.5130,-42,-0.109956,-0.001374
0.5150,-43,-0.112574,-0.001407
0.5190,-44,-0.115192,-0.001440
0.5220,-45,-0.117810,-0.001473
0.5240,-45,-0.117810,-0.001473
0.5270,-45,-0.117810,-0.001473
0.5290,-46,-0.120428,-0.001505
0.5320,-47,-0.123046,-0.001538
0.5350,-47,-0.123046,-0.001538
0.5370,-47,-0.123046,-0.001538
0.5400,-48,-0.125664,-0.001571
0.5430,-48,-0.125664,-0.001571
0.5450,-49,-0.128282,-0.001604
0.5480,-49,-0.128282,-0.001604
0.5510,-49,-0.128282,-0.001604
0.5530,-50,-0.130900,-0.001636
0.5560,-50,-0.130900,-0.001636
0.5590,-51,-0.133518,-0.001669
0.5620,-51,-0.133518,-0.001669
0.5650,-52,-0.136136,-0.001702
0.5680,-52,-0.136136,-0.001702
0.5700,-53,-0.138754,-0.001734
0.5730,-53,-0.138754,-0.001734
0.5760,-53,-0.138754,-0.001734
0.5780,-53,-0.138754,-0.001734
0.5810,-54,-0.141372,-0.001767
0.5840,-54,-0.141372,-0.001767
0.5860,-54,-0.141372,-0.001767
0.5890,-54,-0.141372,-0.001767
0.5920,-55,-0.143990,-0.001800
0.5940,-55,-0.143990,-0.001800
0.5970,-55,-0.143990,-0.001800
0.6000,-56,-0.146608,-0.001833
0.6020,-56,-0.146608,-0.001833
0.6060,-56,-0.146608,-0.001833
0.6090,-57,-0.149226,-0.001865
0.6110,-57,-0.149226,-0.001865
0.6140,-58,-0.151844,-0.001898
0.6160,-58,-0.151844,-0.001898
0.6190,-59,-0.154462,-0.001931
0.6220,-60,-0.157080,-0.001963
0.6240,-60,-0.157080,-0.001963
0.6270,-60,-0.157080,-0.001963
0.6300,-61,-0.159698,-0.001996
0.6320,-62,-0.162316,-0.002029
0.6350,-63,-0.164934,-0.002062
0.6380,-64,-0.167552,-0.002094
0.6400,-65,-0.170170,-0.002127
0.6430,-66,-0.172788,-0.002160
0.6470,-67,-0.175406,-0.002193
0.6490,-68,-0.178024,-0.002225
0.6520,-69,-0.180642,-0.002258
0.6550,-71,-0.185878,-0.002323
0.6570,-74,-0.193732,-0.002422
0.6600,-76,-0.198968,-0.002487
0.6630,-79,-0.206822,-0.002585
0.6650,-81,-0.212058,-0.002651
0.6680,-83,-0.217294,-0.002716
0.6710,-85,-0.222529,-0.002782
0.6730,-88,-0.230383,-0.002880
0.6760,-90,-0.235619,-0.002945
0.6790,-92,-0.240855,-0.003011
0.6810,-95,-0.248709,-0.003109
0.6840,-98,-0.256563,-0.003207
0.6870,-101,-0.264417,-0.003305
0.6900,-104,-0.272271,-0.003403
0.6930,-108,-0.282743,-0.003534
0.6960,-111,-0.290597,-0.003632
0.6980,-115,-0.301069,-0.003763
0.7010,-119,-0.311541,-0.003894
0.7040,-122,-0.319395,-0.003992
0.7070,-126,-0.329867,-0.004123
0.7090,-129,-0.337721,-0.004222
0.7120,-133,-0.348193,-0.004352
0.7150,-136,-0.356047,-0.004451
0.7180,-139,-0.363901,-0.004549
0.7200,-143,-0.374373,-0.004680
0.7230,-146,-0.382227,-0.004778
0.7260,-149,-0.390081,-0.004876
0.7290,-152,-0.397935,-0.004974
0.7320,-156,-0.408407,-0.005105
0.7350,-159,-0.416261,-0.005203
0.7380,-162,-0.424115,-0.005301
0.7410,-165,-0.431969,-0.005400
0.7510,-177,-0.463385,-0.005792
0.7610,-190,-0.497419,-0.006218
0.7710,-200,-0.523599,-0.006545
0.7810,-208,-0.544543,-0.006807
0.7910,-215,-0.562869,-0.007036
0.8010,-223,-0.583813,-0.007298
0.8110,-229,-0.599521,-0.007494
0.8210,-234,-0.612611,-0.007658
0.8310,-240,-0.628319,-0.007854
0.8410,-250,-0.654498,-0.008181
0.8510,-263,-0.688532,-0.008607
0.8610,-278,-0.727802,-0.009098
0.8710,-296,-0.774926,-0.009687
0.8810,-311,-0.814196,-0.010177
0.8910,-326,-0.853466,-0.010668
0.9010,-340,-0.890118,-0.011126
0.9110,-351,-0.918916,-0.011486
0.9210,-360,-0.942478,-0.011781
0.9310,-364,-0.952950,-0.011912
0.9410,-366,-0.958186,-0.011977
0.9510,-366,-0.958186,-0.011977
0.9610,-364,-0.952950,-0.011912
0.9710,-363,-0.950332,-0.011879
0.9810,-362,-0.947714,-0.011846
0.9910,-363,-0.950332,-0.011879
1.0010,-365,-0.955568,-0.011945
1.0110,-370,-0.968658,-0.012108
1.0210,-374,-0.979130,-0.012239
1.0310,-377,-0.986984,-0.012337
1.0410,-380,-0.994838,-0.012435
1.0510,-381,-0.997456,-0.012468
1.0610,-381,-0.997456,-0.012468
1.0710,-379,-0.992220,-0.012403
1.0810,-379,-0.992220,-0.012403
1.0910,-377,-0.986984,-0.012337
1.1010,-377,-0.986984,-0.012337
1.1110,-377,-0.986984,-0.012337
1.1210,-378,-0.989602,-0.012370
1.1310,-380,-0.994838,-0.012435
1.1410,-382,-1.000074,-0.012501
1.1510,-385,-1.007928,-0.012599
1.1610,-385,-1.007928,-0.012599
1.1710,-386,-1.010546,-0.012632
1.1810,-385,-1.007928,-0.012599
1.1910,-384,-1.005310,-0.012566
1.2010,-383,-1.002692,-0.012534
