t_s,count,theta_rad,x_m
0.0000,-4,-0.010472,-0.000131
0.0020,-4,-0.010472,-0.000131
0.0050,-4,-0.010472,-0.000131
0.0080,-4,-0.010472,-0.000131
0.0100,-4,-0.010472,-0.000131
0.0130,-4,-0.010472,-0.000131
0.0150,-4,-0.010472,-0.000131
0.0180,-4,-0.010472,-0.000131
0.0200,-4,-0.010472,-0.000131
0.0220,-4,-0.010472,-0.000131
0.0250,-4,-0.010472,-0.000131
0.0270,-4,-0.010472,-0.000131
0.0300,-4,-0.010472,-0.000131
0.0320,-4,-0.010472,-0.000131
0.0340,-4,-0.010472,-0.000131
0.0370,-4,-0.010472,-0.000131
0.0390,-4,-0.010472,-0.000131
0.0420,-4,-0.010472,-0.000131
0.0440,-4,-0.010472,-0.000131
0.0470,-4,-0.010472,-0.000131
0.0500,-4,-0.010472,-0.000131
0.0530,-5,-0.013090,-0.000164
0.0560,-5,-0.013090,-0.000164
0.0580,-5,-0.013090,-0.000164
0.0610,-5,-0.013090,-0.000164
0.0630,-6,-0.015708,-0.000196
0.0660,-6,-0.015708,-0.000196
0.0680,-6,-0.015708,-0.000196
0.0710,-7,-0.018326,-0.000229
0.0740,-7,-0.018326,-0.000229
0.0760,-7,-0.018326,-0.000229
0.0790,-8,-0.020944,-0.000262
0.0810,-8,-0.020944,-0.000262
0.0840,-8,-0.020944,-0.000262
0.0870,-8,-0.020944,-0.000262
0.0890,-9,-0.023562,-0.000295
0.0930,-9,-0.023562,-0.000295
0.0950,-9,-0.023562,-0.000295
0.0980,-9,-0.023562,-0.000295
0.1000,-10,-0.026180,-0.000327
0.1030,-10,-0.026180,-0.000327
0.1060,-10,-0.026180,-0.000327
0.1080,-10,-0.026180,-0.000327
0.1110,-10,-0.026180,-0.000327
0.1140,-11,-0.028798,-0.000360
0.1160,-11,-0.028798,-0.000360
0.1190,-11,-0.028798,-0.000360
0.1220,-11,-0.028798,-0.000360
0.1240,-11,-0.028798,-0.000360
0.1270,-11,-0.028798,-0.000360
0.1300,-11,-0.028798,-0.000360
0.1320,-11,-0.028798,-0.000360
0.1360,-11,-0.028798,-0.000360
0.1390,-11,-0.028798,-0.000360
0.1410,-11,-0.028798,-0.000360
0.1440,-11,-0.028798,-0.000360
0.1470,-11,-0.028798,-0.000360
0.1490,-11,-0.028798,-0.000360
0.1520,-11,-0.028798,-0.000360
0.1540,-11,-0.028798,-0.000360
0.1570,-11,-0.028798,-0.000360
0.1600,-11,-0.028798,-0.000360
0.1620,-10,-0.026180,-0.000327
0.1650,-10,-0.026180,-0.000327
0.1680,-10,-0.026180,-0.000327
0.1700,-10,-0.026180,-0.000327
0.1730,-10,-0.026180,-0.000327
0.1770,-10,-0.026180,-0.000327
0.1790,-10,-0.026180,-0.000327
0.1820,-10,-0.026180,-0.000327
0.1850,-10,-0.026180,-0.000327
0.1870,-10,-0.026180,-0.000327
0.1900,-10,-0.026180,-0.000327
0.1930,-11,-0.028798,-0.000360
0.1950,-11,-0.028798,-0.000360
0.1980,-11,-0.028798,-0.000360
0.2010,-11,-0.028798,-0.000360
0.2030,-11,-0.028798,-0.000360
0.2060,-12,-0.031416,-0.000393
0.2090,-12,-0.031416,-0.000393
0.2110,-12,-0.031416,-0.000393
0.2140,-12,-0.031416,-0.000393
0.2170,-13,-0.034034,-0.000425
0.2200,-13,-0.034034,-0.000425
0.2230,-14,-0.036652,-0.000458
0.2260,-14,-0.036652,-0.000458
0.2280,-14,-0.036652,-0.000458
0.2310,-14,-0.036652,-0.000458
0.2340,-15,-0.039270,-0.000491
0.2360,-15,-0.039270,-0.000491
0.2390,-15,-0.039270,-0.000491
0.2410,-15,-0.039270,-0.000491
0.2440,-16,-0.041888,-0.000524
0.2470,-16,-0.041888,-0.000524
0.2490,-16,-0.041888,-0.000524
0.2520,-16,-0.041888,-0.000524
0.2550,-16,-0.041888,-0.000524
0.2570,-17,-0.044506,-0.000556
0.2600,-17,-0.044506,-0.000556
0.2640,-17,-0.044506,-0.000556
0.2660,-17,-0.044506,-0.000556
0.2690,-17,-0.044506,-0.000556
0.2720,-17,-0.044506,-0.000556
0.2740,-17,-0.044506,-0.000556
0.2770,-17,-0.044506,-0.000556
0.2800,-17,-0.044506,-0.000556
0.2820,-17,-0.044506,-0.000556
0.2850,-16,-0.041888,-0.000524
0.2880,-16,-0.041888,-0.000524
0.2900,-16,-0.041888,-0.000524
0.2930,-16,-0.041888,-0.000524
0.2960,-16,-0.041888,-0.000524
0.2980,-16,-0.041888,-0.000524
0.3010,-16,-0.041888,-0.000524
0.3050,-16,-0.041888,-0.000524
0.3070,-16,-0.041888,-0.000524
0.3100,-16,-0.041888,-0.000524
0.3130,-16,-0.041888,-0.000524
0.3150,-16,-0.041888,-0.000524
0.3180,-16,-0.041888,-0.000524
0.3210,-16,-0.041888,-0.000524
0.3230,-16,-0.041888,-0.000524
0.3260,-15,-0.039270,-0.000491
0.3280,-16,-0.041888,-0.000524
0.3310,-16,-0.041888,-0.000524
0.3340,-16,-0.041888,-0.000524
0.3360,-16,-0.041888,-0.000524
0.3390,-17,-0.044506,-0.000556
0.3420,-17,-0.044506,-0.000556
0.3440,-17,-0.044506,-0.000556
0.3480,-18,-0.047124,-0.000589
0.3510,-18,-0.047124,-0.000589
0.3530,-18,-0.047124,-0.000589
0.3560,-18,-0.047124,-0.000589
0.3590,-19,-0.049742,-0.000622
0.3610,-19,-0.049742,-0.000622
0.3640,-19,-0.049742,-0.000622
0.3670,-20,-0.052360,-0.000654
0.3690,-20,-0.052360,-0.000654
0.3720,-20,-0.052360,-0.000654
0.3750,-21,-0.054978,-0.000687
0.3770,-21,-0.054978,-0.000687
0.3800,-21,-0.054978,-0.000687
0.3830,-21,-0.054978,-0.000687
0.3850,-21,-0.054978,-0.000687
0.3880,-21,-0.054978,-0.000687
0.3920,-21,-0.054978,-0.000687
0.3940,-21,-0.054978,-0.000687
0.3970,-22,-0.057596,-0.000720
0.4000,-22,-0.057596,-0.000720
0.4020,-22,-0.057596,-0.000720
0.4050,-22,-0.057596,-0.000720
0.4080,-22,-0.057596,-0.000720
0.4100,-22,-0.057596,-0.000720
0.4130,-21,-0.054978,-0.000687
0.4150,-21,-0.054978,-0.000687
0.4180,-21,-0.054978,-0.000687
0.4210,-21,-0.054978,-0.000687
0.4230,-21,-0.054978,-0.000687
0.4260,-21,-0.054978,-0.000687
0.4290,-21,-0.054978,-0.000687
0.4310,-21,-0.054978,-0.000687
0.4350,-20,-0.052360,-0.000654
0.4380,-20,-0.052360,-0.000654
0.4400,-20,-0.052360,-0.000654
0.4430,-20,-0.052360,-0.000654
0.4460,-20,-0.052360,-0.000654
0.4480,-20,-0.052360,-0.000654
0.4510,-20,-0.052360,-0.000654
0.4540,-20,-0.052360,-0.000654
0.4560,-20,-0.052360,-0.000654
0.4590,-20,-0.052360,-0.000654
0.4620,-20,-0.052360,-0.000654
0.4640,-19,-0.049742,-0.000622
0.4670,-20,-0.052360,-0.000654
0.4700,-20,-0.052360,-0.000654
0.4720,-20,-0.052360,-0.000654
0.4760,-21,-0.054978,-0.000687
0.4790,-21,-0.054978,-0.000687
0.4810,-21,-0.054978,-0.000687
0.4840,-21,-0.054978,-0.000687
0.4870,-21,-0.054978,-0.000687
0.4890,-22,-0.057596,-0.000720
0.4920,-22,-0.057596,-0.000720
0.4950,-22,-0.057596,-0.000720
0.4970,-22,-0.057596,-0.000720
0.5000,-22,-0.057596,-0.000720
0.5020,-22,-0.057596,-0.000720
0.5050,-23,-0.060214,-0.000753
0.5080,-23,-0.060214,-0.000753
0.5100,-23,-0.060214,-0.000753
0.5130,-23,-0.060214,-0.000753
0.5160,-23,-0.060214,-0.000753
0.5190,-23,-0.060214,-0.000753
0.5220,-24,-0.062832,-0.000785
0.5250,-24,-0.062832,-0.000785
0.5270,-24,-0.062832,-0.000785
0.5300,-24,-0.062832,-0.000785
0.5330,-24,-0.062832,-0.000785
0.5350,-24,-0.062832,-0.000785
0.5380,-24,-0.062832,-0.000785
0.5410,-23,-0.060214,-0.000753
0.5430,-23,-0.060214,-0.000753
0.5460,-23,-0.060214,-0.000753
0.5490,-23,-0.060214,-0.000753
0.5510,-23,-0.060214,-0.000753
0.5540,-23,-0.060214,-0.000753
0.5570,-23,-0.060214,-0.000753
0.5590,-22,-0.057596,-0.000720
0.5630,-22,-0.057596,-0.000720
0.5660,-22,-0.057596,-0.000720
0.5680,-22,-0.057596,-0.000720
0.5710,-22,-0.057596,-0.000720
0.5740,-22,-0.057596,-0.000720
0.5760,-22,-0.057596,-0.000720
0.5790,-22,-0.057596,-0.000720
0.5820,-22,-0.057596,-0.000720
0.5840,-22,-0.057596,-0.000720
0.5870,-22,-0.057596,-0.000720
0.5890,-22,-0.057596,-0.000720
0.5920,-22,-0.057596,-0.000720
0.5950,-22,-0.057596,-0.000720
0.5970,-22,-0.057596,-0.000720
0.6000,-22,-0.057596,-0.000720
0.6040,-22,-0.057596,-0.000720
0.6060,-22,-0.057596,-0.000720
0.6090,-23,-0.060214,-0.000753
0.6120,-23,-0.060214,-0.000753
0.6140,-23,-0.060214,-0.000753
0.6170,-23,-0.060214,-0.000753
0.6200,-24,-0.062832,-0.000785
0.6220,-24,-0.062832,-0.000785
